UsahaID	Nama	Alamat	Southing	Easting
149	Lembantek Pikri Amal	"Jl. Jambesari 15 Karang Pete RT 08 RW 06, Kel. Kutowinangun, Kec. Tingkir, Salatiga"	-7345085	110.50505
150	Lancar Sari Jaya	"Jl. Patimura 2, Kel. Salatiga, Kec. Sidorejo, Salatiga"	-7.31325	110.50269
151	Warung Lawuh Ndeso	"Jl. Langenrejo 6, Kel. Gendongan, Kec. Tingkir, Salatiga"	-7.33784	110.50873
152	UD. Arimbi	"Jl. Arimbi 1-A Grogol, Kel. Dukuh, Kec. Sidomukti, Salatiga"	-7.32232	110.51019
153	Richan Sport	"Ngentak Mulyo 3/841, Kel. Kutowinangun, Kec. Tingkir, Salatiga"	-7.33344	110.50913
154	Frank's Garage	"Jl. Dr Muwardi 40, Kel. Kutowinangun, Kec. Tingkir, Salatiga"	-7.34137	110.49806
155	UD. Keris	"Jl. Tegalrejo Raya 67, Kel. Tegalrejo, Kec. Argomulyo, Salatiga"	-7.331449	110.48244
156	Irawan	"Dukuh Lor RT 02 RW 02, Kel. Tingkir Lor, Kec. Tingkir, Salatiga"	-7.331449	110.48244
157	Toko Sumber Wangi	"Jl. Kalinyamat 8, Kel. Kutowinangun, Kec. Tingkir, Salatiga"	-7.32934	110.50748
158	Pesona Terapi	"Jl. Argopratiwi Krasak, Kel. Ledok, Kec. Argomulyo, Salatiga"	-7.34468	110.506
159	Royden	"Jl. Merbabu 50, Kel. Kalicacing, Kec. Sidomukti, Salatiga"	-7.32958	110.5039
160	Toko Bina Jaya	"Jl. Jend. Sudirman 14-A, Kel. Kalicacing, Kec. Sidomukti, Salatiga"	-7.3354	110.5077
161	Toko Obor	"Jl. TM. Pahlawan 41, Kel. Kutowinangun, Kec. Tingkir, Salatiga"	-7.32921	110.51034
162	Mahardika Mega Media	"Jl. Imam Bonjol 23-C, Kel. Sidorejo Lor, Kec. Sidorejo, Salatiga"	-7.3203	110.49655
163	Toko Umroji	"Cabean RT 01 RW 14, Kel. Mangunsari, Kec. Sidomukti, Salatiga"	-7.32889	110.49048
164	Diva Jaya Selluler	"Jl. Argopratiwi Krasak RT 01 RW 06, Kel. Ledok, Kec. Argomulyo, Salatiga"	-7.331549	110.48345
165	Sophie Paris	"Jl. Ahmad Yani 77, Kel. Kalicacing, Kec. Sidomukti, Salatiga"	-7.33637	110.5057
166	CV. Kangguru	"Jl. Kalibaru IV/76, Kel. Kutowinangun, Kec. Tingkir, Salatiga"	-7.32489	110.51029
167	CV. Era Bangkit	"Jl. Purbaya I/4, Kel. Dukuh, Kec. Sidomukti, Salatiga"	-7.32217	110.48499
168	CV. Coffe House	"Jl. Bima RT 03 RW 08, Kel. Dukuh, Kec. Sidomukti, Salatiga"	-7.33796	110.48072
169	CV. Gunung Tinggi	"Perum Candran A-12, Kel. Kecandran, Kec. Sidomukti, Salatiga"	-7.307076	110.48004
170	CV. Cipta Jaya Abadi	"Jl. Baru 301 B, Kel. Sidorejo Lor, Kec. Sidorejo, Salatiga"	-7.31487	110.49321
171	CV. Gelora Bumi Baru	"Green Paradise Regency Blok B 14-15, Kel. Dukuh, Kec. Sidomukti, Salatiga"	-7.32999	110.49248
172	CV. Putra Sang Fajar	"Jl. Pemotongan 1245, Kel. Salatiga, Kec. Sidorejo, Salatiga"	-7.32844	110.50328
173	PT. Indomarco Prismatama	"Jl. Patimura 28, Kel. Salatiga, Kec. Sidorejo, Salatiga"	-7.322477	110.50626
174	KPRI Bhineka Husada	"Jl. Osamaliki 19, Kel. Mangunsari, Kec. Sidomukti, Salatiga"	-7.33168	110.49798
